tract,no_internet,no_computer,no_internet_computer_universe,no_internet_pct,no_computer_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037212101,150,97,1455,10.3,6.7,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2642,1999890.32714844,5670.09746275702
06037212102,260,197,1248,20.8,15.8,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2643,1492508.61816406,4902.63174580993
06037212202,359,118,1281,28,9.2,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2644,2225899.92578125,6481.88798664003
06037212203,664,226,1626,40.8,13.9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2645,1141073.35449219,4500.61037838101
06037212204,414,99,1294,32,7.7,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2646,2300387.56054688,6142.68644099121
06037212303,278,111,1643,16.9,6.8,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2647,1675272.86230469,5219.25390230195
06037212304,199,96,737,27,13,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2648,2218468.734375,6304.99186116211
06037212305,149,54,1007,14.8,5.4,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2649,1168773.14648438,4355.76452609155
06037406702,91,43,1878,4.8,2.3,District 1,City of West Covina,SPA 3 - San Gabriel,2650,30469700.0214844,24007.9510942641
06037406801,134,52,1288,10.4,4,District 1,City of West Covina,SPA 3 - San Gabriel,2651,18663501.1083984,23849.5445507412
06037406903,311,178,2042,15.2,8.7,District 1,Unincorporated - Bassett,SPA 3 - San Gabriel,2652,21082529.9111328,19519.8125324156
06037407001,234,114,1255,18.6,9.1,District 1,Unincorporated - Bassett,SPA 3 - San Gabriel,2653,10738739.59375,14062.2338659619
06037407002,76,26,701,10.8,3.7,District 1,City of Industry,SPA 3 - San Gabriel,2654,34111705.1396484,25658.3521687306
06037407101,234,134,1158,20.2,11.6,District 1,City of La Puente,SPA 3 - San Gabriel,2655,12251102.2001953,15224.600198314
06037407102,100,72,1344,7.4,5.4,District 1,City of La Puente,SPA 3 - San Gabriel,2656,9930178.4921875,14539.6168599124
06037407201,95,10,874,10.9,1.1,District 1,City of La Puente,SPA 3 - San Gabriel,2657,6955646.68261719,11309.0233683546
06037407202,146,42,799,18.3,5.3,District 1,City of La Puente,SPA 3 - San Gabriel,2658,8682556.02441406,13374.5142338329
06037407301,64,30,986,6.5,3,District 1,Unincorporated - West Puente Valley,SPA 3 - San Gabriel,2659,10633047.6083984,15254.5786465491
06037407302,115,31,821,14,3.8,District 1,Unincorporated - West Puente Valley,SPA 3 - San Gabriel,2660,8679660.53515625,12141.7395707559
06037407400,6,3,524,1.1,0.6,District 1,City of West Covina,SPA 3 - San Gabriel,2661,6534892.61328125,10297.4292539801
06037407501,114,15,1008,11.3,1.5,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,2662,12165499.5214844,16937.9585891026
